id;Наименование продукта
1;Вино десертное
2;Вино крепкое
3;Вино ликерное
4;Вино полудесертное
5;Вино полусладкое белое и красное (в т. ч. шампанское)
6;Вино полусухое белое и красное (в т. ч. шампанское)
7;Вино сладкое белое и красное (в т. ч. шампанское)
8;Вино сухое белое и красное (в т. ч. шампанское)
9;Вино, десертное, сухое
10;Вино, десертное, сладкое
11;Вино, кулинарное
12;Вино, легкое
13;Вино, столовое, белое
14;Вино, столовое, белое, Гевюрцтраминер (Gewurztraminer)
15;Вино, столовое, белое, Лэйт Харвест (late harvest)
16;Вино, столовое, белое, Мускат (Muscat)
17;Вино, столовое, белое, Мюллер-Тургау (Muller Thurgau)
18;Вино, столовое, белое, Пино Блан (Pinot Blanc)
19;Вино, столовое, белое, Пино Гри (Pinot Gris (Grigio))
20;Вино, столовое, белое, Рислинг (Riesling)
21;Вино, столовое, белое, Семильон (Semillon)
22;Вино, столовое, белое, Совиньон Блан (Sauvignon Blanc)
23;Вино, столовое, белое, Фюмэ Блан (Fume Blanc)
24;Вино, столовое, белое, Шенен Блан (Chenin Blanc)
25;Вино, столовое, все виды
26;Вино, столовое, красное
27;Вино, столовое, красное, Барбера (Barbera)
28;Вино, столовое, красное, Бургундское (Burgundy)
29;Вино, столовое, красное, Гаме (Gamay)
30;Вино, столовое, красное, Зинфандель (Zinfandel)
31;Вино, столовое, красное, Каберне Совиньон (Cabernet Suavignon)
32;Вино, столовое, красное, Каберне Фран (Cabernet Franc)
33;Вино, столовое, красное, Кариньян (Carignane)
34;Вино, столовое, красное, Кларет (Claret)
35;Вино, столовое, красное, Лембергер (Lemberger)
36;Вино, столовое, красное, Мерло (Merlot)
37;Вино, столовое, красное, Мурведр (Mouvedre)
38;Вино, столовое, красное, Пино Нуар (Pinot Noir)
39;Вино, столовое, красное, Пти Шираз (Petite Sirah)
40;Вино, столовое, красное, Санджовезе (Sangiovese)
41;Вино, столовое, красное, Шираз (Syrah)
42;Виски, дистиллированные, 86 proof
43;Водка
44;Водка, дистиллированная, 80 proof
45;Дайкири, консервированный
46;Дайкири, приготовленный по рецепту
47;Джин, дистиллированный, 90 proof
48;Джин, ром, водка, виски, дистиллированные, 100 proof
49;Джин, ром, водка, виски, дистиллированные, 80 proof
50;Джин, ром, водка, виски, дистиллированные, 86 proof
51;Джин, ром, водка, виски, дистиллированные, 90 proof
52;Джин, ром, водка, виски, дистиллированные, 94 proof
53;Коктейль, Виски Сауэр, консервированный
54;Коктейль, Виски Сауэр, приготовленный из виски и воды
55;Коктейль, Виски Сауэр, приготовленный из продукта N14028
56;Коктейль, Виски Сауэр, приготовленный из продукта N14530
57;Коньяк ординарный «Бастион», «Три звездочки»
58;Ликер «Вишневый»
59;Ликер, coffee with cream, 34 proof
60;Ликер, Creme de Menthe (Мятный Крем Зеленый), 72 proof
61;Ликер, кофе, 53 proof
62;Ликер, кофе, 63 proof
63;Наливка «Сливянка»
64;"Настойка горькая ""Русский сувенир"""
65;Пиво светлое, с долей сухих в-в в исходном сусле 11%
66;Пиво светлое, с долей сухих в-в в исходном сусле 20%
67;Пиво темное, с долей сухих в-в в исходном сусле 13%
68;Пиво темное, с долей сухих в-в в исходном сусле 20%
69;Пиво, обычное, BUDWEISER
70;Пиво, обычное, все виды
71;Пиво, светлое
72;Пиво, светлое, BUD LIGHT
73;Пиво, светлое, BUDWEISER SELECT
74;Пиво, светлое, MICHELOB ULTRA
75;Пинаколада, консервированная
76;Пинаколада, приготовленная по рецепту
77;Ром, дистиллированный, 80 proof
78;Саке, рисовая водка
79;Текила Санрайз, консервированная
80;"Lamb, Australian, imported, fresh, leg, sirloin chops, boneless, separable lean and fat, trimmed to 1/8"" fat, cooked, broiled"
81;"Lamb, Australian, imported, fresh, leg, sirloin chops, boneless, separable lean and fat, trimmed to 1/8"" fat, raw"
82;"Lamb, Australian, imported, fresh, leg, sirloin chops, boneless, separable lean only, trimmed to 1/8"" fat, cooked, broiled"
