id;Наименование продукта;kal
1;Вино десертное;246
2;Вино крепкое;206
3;Вино ликерное;268
4;Вино полудесертное;72
5;Вино полусладкое белое и красное (в т. ч. шампанское);118
6;Вино полусухое белое и красное (в т. ч. шампанское);273
7;Вино сладкое белое и красное (в т. ч. шампанское);300
8;Вино сухое белое и красное (в т. ч. шампанское);124
9;Вино, десертное, сухое;76
10;Вино, десертное, сладкое;201
11;Вино, кулинарное;292
12;Вино, легкое;133
13;Вино, столовое, белое;61
14;Вино, столовое, белое, Гевюрцтраминер (Gewurztraminer);126
15;Вино, столовое, белое, Лэйт Харвест (late harvest);185
16;Вино, столовое, белое, Мускат (Muscat);296
17;Вино, столовое, белое, Мюллер-Тургау (Muller Thurgau);93
18;Вино, столовое, белое, Пино Блан (Pinot Blanc);189
19;Вино, столовое, белое, Пино Гри (Pinot Gris (Grigio));151
20;Вино, столовое, белое, Рислинг (Riesling);284
21;Вино, столовое, белое, Семильон (Semillon);251
22;Вино, столовое, белое, Совиньон Блан (Sauvignon Blanc);171
23;Вино, столовое, белое, Фюмэ Блан (Fume Blanc);108
24;Вино, столовое, белое, Шенен Блан (Chenin Blanc);94
25;Вино, столовое, все виды;82
26;Вино, столовое, красное;299
27;Вино, столовое, красное, Барбера (Barbera);194
28;Вино, столовое, красное, Бургундское (Burgundy);170
29;Вино, столовое, красное, Гаме (Gamay);230
30;Вино, столовое, красное, Зинфандель (Zinfandel);110
31;Вино, столовое, красное, Каберне Совиньон (Cabernet Suavignon);295
32;Вино, столовое, красное, Каберне Фран (Cabernet Franc);166
33;Вино, столовое, красное, Кариньян (Carignane);241
34;Вино, столовое, красное, Кларет (Claret);273
35;Вино, столовое, красное, Лембергер (Lemberger);224
36;Вино, столовое, красное, Мерло (Merlot);275
37;Вино, столовое, красное, Мурведр (Mouvedre);235
38;Вино, столовое, красное, Пино Нуар (Pinot Noir);211
39;Вино, столовое, красное, Пти Шираз (Petite Sirah);147
40;Вино, столовое, красное, Санджовезе (Sangiovese);172
41;Вино, столовое, красное, Шираз (Syrah);64
42;Виски, дистиллированные, 86 proof;200
43;Водка;173
44;Водка, дистиллированная, 80 proof;278
45;Дайкири, консервированный;163
46;Дайкири, приготовленный по рецепту;116
47;Джин, дистиллированный, 90 proof;293
48;Джин, ром, водка, виски, дистиллированные, 100 proof;203
49;Джин, ром, водка, виски, дистиллированные, 80 proof;107
50;Джин, ром, водка, виски, дистиллированные, 86 proof;68
51;Джин, ром, водка, виски, дистиллированные, 90 proof;119
52;Джин, ром, водка, виски, дистиллированные, 94 proof;95
53;Коктейль, Виски Сауэр, консервированный;223
54;Коктейль, Виски Сауэр, приготовленный из виски и воды;183
55;Коктейль, Виски Сауэр, приготовленный из продукта N14028;70
56;Коктейль, Виски Сауэр, приготовленный из продукта N14530;173
57;Коньяк ординарный «Бастион», «Три звездочки»;173
58;Ликер «Вишневый»;207
59;Ликер, coffee with cream, 34 proof;71
60;Ликер, Creme de Menthe (Мятный Крем Зеленый), 72 proof;144
61;Ликер, кофе, 53 proof;166
62;Ликер, кофе, 63 proof;186
63;Наливка «Сливянка»;99
64;"Настойка горькая ""Русский сувенир""";193
65;Пиво светлое, с долей сухих в-в в исходном сусле 11%;184
66;Пиво светлое, с долей сухих в-в в исходном сусле 20%;170
67;Пиво темное, с долей сухих в-в в исходном сусле 13%;254
68;Пиво темное, с долей сухих в-в в исходном сусле 20%;274
69;Пиво, обычное, BUDWEISER;91
70;Пиво, обычное, все виды;140
71;Пиво, светлое;191
72;Пиво, светлое, BUD LIGHT;237
73;Пиво, светлое, BUDWEISER SELECT;114
74;Пиво, светлое, MICHELOB ULTRA;138
75;Пинаколада, консервированная;232
76;Пинаколада, приготовленная по рецепту;180
77;Ром, дистиллированный, 80 proof;140
78;Саке, рисовая водка;122
79;Текила Санрайз, консервированная;96
80;"Lamb, Australian, imported, fresh, leg, sirloin chops, boneless, separable lean and fat, trimmed to 1/8"" fat, cooked, broiled";277
81;"Lamb, Australian, imported, fresh, leg, sirloin chops, boneless, separable lean and fat, trimmed to 1/8"" fat, raw";54
82;"Lamb, Australian, imported, fresh, leg, sirloin chops, boneless, separable lean only, trimmed to 1/8"" fat, cooked, broiled";267
83;"Lamb, Australian, imported, fresh, leg, sirloin chops, boneless, separable lean only, trimmed to 1/8"" fat, raw";183
84;"Lamb, Australian, imported, fresh, leg, sirloin half, boneless, separable lean and fat, trimmed to 1/8"" fat, cooked, roasted";171
85;"Lamb, Australian, imported, fresh, leg, sirloin half, boneless, separable lean and fat, trimmed to 1/8"" fat, raw";112
86;"Lamb, Australian, imported, fresh, leg, sirloin half, boneless, separable lean only, trimmed to 1/8"" fat, cooked, roasted";280
87;"Lamb, Australian, imported, fresh, leg, sirloin half, boneless, separable lean only, trimmed to 1/8"" fat, raw";85
88;"Lamb, Australian, imported, fresh, shoulder ,blade, separable lean only, trimmed to 1/8"" fat, cooked, broiled";91
89;"Lamb, Australian, imported, fresh, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, cooked, braised";199
90;"Lamb, Australian, imported, fresh, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, raw";191
91;"Lamb, Australian, imported, fresh, shoulder, arm, separable lean only, trimmed to 1/8"" fat, cooked, braised";247
92;"Lamb, Australian, imported, fresh, shoulder, arm, separable lean only, trimmed to 1/8"" fat, raw";60
93;"Lamb, Australian, imported, fresh, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, cooked, broiled";282
94;"Lamb, Australian, imported, fresh, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, raw";80
95;"Lamb, Australian, imported, fresh, shoulder, blade, separable lean only, trimmed to 1/8"" fat, raw";98
96;"Lamb, domestic, leg, sirloin half, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, roasted";159
97;"Lamb, domestic, leg, sirloin half, separable lean and fat, trimmed to 1/4"" fat, choice, raw";54
98;"Lamb, domestic, leg, sirloin half, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted";84
99;"Lamb, domestic, leg, sirloin half, separable lean and fat, trimmed to 1/8"" fat, choice, raw";181
100;"Lamb, domestic, leg, sirloin half, separable lean only, trimmed to 1/4"" fat, choice, cooked, roasted";109
101;"Lamb, domestic, leg, sirloin half, separable lean only, trimmed to 1/4"" fat, choice, raw";152
102;"Lamb, domestic, shoulder, arm, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, braised";214
103;"Lamb, domestic, shoulder, arm, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, broiled";126
104;"Lamb, domestic, shoulder, arm, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, roasted";94
105;"Lamb, domestic, shoulder, arm, separable lean and fat, trimmed to 1/4"" fat, choice, raw";209
106;"Lamb, domestic, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised";279
107;"Lamb, domestic, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, choice, raw";125
108;"Lamb, domestic, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, choice, roasted";62
109;"Lamb, domestic, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, cooked, broiled";136
110;"Lamb, domestic, shoulder, arm, separable lean only, trimmed to 1/4"" fat, choice, cooked, braised";257
111;"Lamb, domestic, shoulder, arm, separable lean only, trimmed to 1/4"" fat, choice, cooked, broiled";75
112;"Lamb, domestic, shoulder, arm, separable lean only, trimmed to 1/4"" fat, choice, cooked, roasted";64
113;"Lamb, domestic, shoulder, arm, separable lean only, trimmed to 1/4"" fat, choice, raw";70
114;"Lamb, domestic, shoulder, blade, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, braised";160
115;"Lamb, domestic, shoulder, blade, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, broiled";280
116;"Lamb, domestic, shoulder, blade, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, roasted";176
117;"Lamb, domestic, shoulder, blade, separable lean and fat, trimmed to 1/4"" fat, choice, raw";279
118;"Lamb, domestic, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised";232
119;"Lamb, domestic, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled";122
120;"Lamb, domestic, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted";173
121;"Lamb, domestic, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, choice, raw";294
122;"Lamb, domestic, shoulder, blade, separable lean only, trimmed to 1/4"" fat, choice, cooked, braised";55
123;"Lamb, domestic, shoulder, blade, separable lean only, trimmed to 1/4"" fat, choice, cooked, broiled";161
124;"Lamb, domestic, shoulder, blade, separable lean only, trimmed to 1/4"" fat, choice, cooked, roasted";103
125;"Lamb, domestic, shoulder, blade, separable lean only, trimmed to 1/4"" fat, choice, raw";88
126;Lamb, variety meats and by-products, mechanically separated, raw;232
127;Баранина, жареная, по 1-396;129
128;"Баранина, кубиками для тушения или кебаб (нога и лопатка), мясо без жира и костей, обрезь до 1/4"" жира, жаренная на открытом огне";247
129;"Баранина, кубиками для тушения или кебаб (нога и лопатка), мясо без жира и костей, обрезь до 1/4"" жира, сырая";145
130;"Баранина, кубиками для тушения или кебаб (нога и лопатка), мясо без жира и костей, обрезь до 1/4"" жира, тушеная";107
131;Баранина, отварная, по 1-392;297
132;Баранина, рулька, мясо и жир, обрезь до 1/8'' жира, отборная, сырая;174
133;Баранина, рулька, мясо и жир, обрезь до 1/8'' жира, отборная, тушеная;193
134;Баранина, селезенка, сырая;142
135;Баранина, селезенка, тушеная;114
136;Баранина, тушеная, консерв.;119
137;Баранина, тушеная, по 1-422;103
138;Баранина, фарш, жаренный на открытом огне;176
139;Баранина, фарш, сырой;204
140;Баранина, филейная часть, домашняя, мясо и жир, обрезь до 1/4'' жира, отборная, жареная;86
141;Баранина, филейная часть, домашняя, мясо и жир, обрезь до 1/4'' жира, отборная, жаренная на открытом огне;144
142;Баранина, филейная часть, домашняя, мясо и жир, обрезь до 1/4'' жира, отборная, сырая;245
143;Баранина, филейная часть, домашняя, мясо и жир, обрезь до 1/8'' жира, отборная, жареная;147
144;Баранина, филейная часть, домашняя, мясо и жир, обрезь до 1/8'' жира, отборная, жаренная на открытом огне;159
145;Баранина, филейная часть, домашняя, мясо и жир, обрезь до 1/8'' жира, отборная, сырая;226
146;Баранина, филейная часть, домашняя, только мясо, обрезь до 1/4'' жира, отборная, жареная;78
147;Баранина, филейная часть, домашняя, только мясо, обрезь до 1/4'' жира, отборная, жаренная на открытом огне;259
148;Баранина, филейная часть, домашняя, только мясо, обрезь до 1/4'' жира, отборная, сырая;61
149;Баранина, филейная часть, Новая Зеландия, замороженная, мясо и жир, жаренная на открытом огне;231
150;Баранина, филейная часть, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, жаренная на открытом огне;172
151;Баранина, филейная часть, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, сырая;220
152;Баранина, филейная часть, Новая Зеландия, замороженная, мясо и жир, сырая;67
153;Баранина, филейная часть, Новая Зеландия, замороженная, только мясо, жаренная на открытом огне;129
154;Баранина, филейная часть, Новая Зеландия, замороженная, только мясо, сырая;159
155;Голяшка, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, жаренная;292
156;Голяшка, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, сырая;138
157;Голяшка, баранина, Австралия, только мясо, обрезь до 1/8'' жира, жаренная;73
158;Голяшка, баранина, Австралия, только мясо, обрезь до 1/8'' жира, сырая;132
159;Голяшка, баранина, мясо и жир, обрезь до 1/4'' жира, отборная, жаренная;216
160;Голяшка, баранина, мясо и жир, обрезь до 1/4'' жира, отборная, сырая;188
161;Голяшка, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, жаренная;154
162;Голяшка, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, сырая;276
163;Голяшка, баранина, только мясо, обрезь до 1/4'' жира, отборная, жаренная;234
164;Голяшка, баранина, только мясо, обрезь до 1/4'' жира, отборная, сырая;251
165;Гуляш, бараний, консерв.;57
166;Жир, баранина, Австралия, вареный;131
167;Жир, баранина, Австралия, сырой;196
168;Завтрак туриста, баранина, консерв.;161
169;Котлеты, баранина, отбивные, по 1-416;157
170;Котлеты, баранина, рубленые, по 1-442;148
171;Легкие, баранина, сырые;181
172;Легкие, баранина, тушеные;240
173;Мозги, баранина, жаренные, с небольшим количеством жира;112
174;Мозги, баранина, сырые;197
175;Мозги, баранина, тушеные;284
176;Мясной набор, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, вареная;234
177;Мясной набор, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, сырая;145
178;Мясной набор, баранина, Австралия, только мясо, обрезь до 1/8'' жира, вареная;82
179;Мясной набор, баранина, Австралия, только мясо, обрезь до 1/8'' жира, сырая;234
180;Мясной набор, баранина, мясо и жир, обрезь до 1/4'' жира, отборная, вареная;216
181;Мясной набор, баранина, мясо и жир, обрезь до 1/4'' жира, отборная, сырая;239
182;Мясной набор, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, вареная;109
183;Мясной набор, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, сырая;196
184;Мясной набор, баранина, Новая Зеландия, замороженная, мясо и жир, вареная;62
185;Мясной набор, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, отборная, вареная;126
186;Мясной набор, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, отборная, сырая;188
187;Мясной набор, баранина, Новая Зеландия, замороженная, мясо и жир, сырая;214
188;Мясной набор, баранина, Новая Зеландия, замороженная, только жир, вареная;150
189;Мясной набор, баранина, Новая Зеландия, замороженная, только жир, сырая;217
190;Мясной набор, баранина, Новая Зеландия, замороженная, только мясо, вареная;243
191;Мясной набор, баранина, Новая Зеландия, замороженная, только мясо, сырая;268
192;Мясной набор, баранина, только жир, обрезь до 1/4'' жира, отборная, вареная;256
193;Мясной набор, баранина, только жир, обрезь до 1/4'' жира, отборная, сырая;262
194;Мясной набор, баранина, только мясо, обрезь до 1/4'' жира, отборная, вареная;79
195;Мясной набор, баранина, только мясо, обрезь до 1/4'' жира, отборная, сырая;73
196;Мясо, баранина, 1 категории;294
197;Мясо, баранина, 2 категории;165
198;Нога передняя, с лопаткой, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, вареная;261
199;Нога передняя, с лопаткой, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, сырая;193
200;Нога передняя, с лопаткой, баранина, Австралия, только мясо, обрезь до 1/8'' жира, вареная;278
201;Нога передняя, с лопаткой, баранина, Австралия, только мясо, обрезь до 1/8'' жира, сырая;276
202;Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/4'' жира, жаренная;276
